id,nome,cpf,email,cidade,telefones,endereco,Grupos
30,Mylen Sousa Crozara,555.668.187-47,mylen-sousa@hjmail.com.br,2709004,(21) 5146 - 1426; (39) 19611 - 5322; (48) 6253 - 5686,"Travessa Saracura, 724",3;4
31,Guilherme Duarte Trindade,556.993.317-56,guilherme-duarte@hjmail.com.br,2909307,(45) 1961 - 2353; (38) 17199 - 3398; (72) 8631 - 8972,"Travessa serenata, 464",1;2
32,Gladison Trindade De Melo,439.833.454-47,gladisontrindade@hjmail.com.br,1501782,(74) 6635 - 4436; (39) 7644 - 6789; (19) 8834 - 5618,"Rua Costa Teles, 994",3;4;2
33,Priscila Edgar Walter,262.443.893-64,priscila-edgar@carlmail.com,2504108,(46) 1662 - 9671; (41) 9966 - 7056; (65) 3667 - 5215,"Alameda do Coelho da Páscoa, 989",2;1;3;4
34,Mylen Andrade Silva,136.219.728-35,mylen_andrade@carlmail.com,2705705,(32) 1527 - 2942; (72) 30225 - 1027; (56) 3232 - 1317,"Rua do Gin Tônica, 165",1;3;4
35,Lauro De Melo De Melo,945.164.135-24,lauro-de@carlmail.com,2201739,(99) 5432 - 7578; (54) 29512 - 4736; (43) 9552 - 2411,"Rua Zimbro, 1579",3;4
36,Carlos Trindade Trindade,354.114.389-32,carlostrindade@hjmail.com.br,2409704,(46) 7989 - 6873; (37) 19842 - 6746; (98) 6799 - 5712,"Rua Easy, 707 - Apto 377",4;2;3
37,Mylen Andrade Santos,419.264.228-86,mylen_andrade@hjmail.com.br,2100477,(91) 2388 - 5355; (75) 29956 - 8389; (54) 7754 - 6277,"Rua Vinícius CEO, 5 - Apto 322",2;4;1
38,Eduardo Melo Trindade,263.448.544-34,eduardo_melo@carlmail.com,2103208,(13) 9455 - 9989; (94) 15273 - 8113; (34) 1153 - 2437,"Rua Marcos, 1276",4;2
39,Camila Ramos Oliveira,261.537.293-95,camila_ramos@septem.co.uk,1400100,(77) 8851 - 7499; (95) 6538 - 9214; (58) 5184 - 2531,"Travessa Brasil, 1777 - sala 6",4;2;3
40,Teresa de Sá Abreu,751.946.315-67,teresa-de@carlmail.com,2703809,(12) 7947 - 8847; (13) 2822 - 8687; (37) 6395 - 1484,"Avenida Yayá, 1692",3;4;1
41,Rafaela Sousa Santos,777.312.768-46,rafaela.sousa@septem.co.uk,2703205,(15) 5137 - 4426; (86) 14355 - 1579; (25) 3997 - 8791,"Rua Carolina, 472",4;1
42,Pamela Crozara Andrade,738.655.946-26,pamela_crozara@septem.co.uk,1502905,(79) 2571 - 4676; (72) 18636 - 2796; (29) 9424 - 2659,"Alameda Uberaba, 1365",1;4;3
43,Rafael de Sá Pires,517.753.339-71,rafael-de@carlmail.com,2104552,(45) 6365 - 9493; (21) 24135 - 8414; (27) 8521 - 5970,"Travessa do Bode, 1050 - sala 17",3;1;2
44,Leandro Melo Andrade,618.832.196-52,leandromelo@carlmail.com,1101609,(27) 1967 - 2999; (75) 27226 - 5595; (42) 8673 - 6712,"Travessa do Bode, 1404 - sala 17",4;1;3
45,Eduardo Sousa De Melo,656.258.298-73,eduardosousa@septem.co.uk,1200203,(54) 7936 - 5372; (44) 12265 - 3838; (91) 7341 - 9132,"Travessa Uberaba, 671 - sala 16",4;2;1
46,João Silva Trindade,736.362.286-87,joão-silva@septem.co.uk,2400901,(29) 4685 - 9621; (52) 3138 - 6806; (67) 4956 - 5212,"Avenida do Whisky, 1874 - Apartamento 241",3;1
47,Otávio Lima Santos,973.445.925-85,otávio-lima@hjmail.com.br,2207207,(39) 3269 - 5986; (37) 6677 - 8255; (71) 1316 - 3880,"Alameda Lenora, 959 - sala 15",1;2
48,Rafaela Crozara Santos,837.153.742-57,rafaelacrozara@septem.co.uk,1400175,(27) 2139 - 6786; (16) 28435 - 3905; (42) 9521 - 8611,"Rua Cristina Aveiro, 293 - Apto 918",3;1;4
49,Adriana Pires Walter,178.327.391-77,adriana.pires@hjmail.com.br,2607703,(97) 8912 - 5765; (48) 3613 - 9821; (93) 7634 - 8990,"Travessa do Gin Tônica, 1899 - Apto 590",4
50,Marcos Pires Oliveira,462.615.842-76,marcos.pires@hjmail.com.br,2411007,(99) 9478 - 1859; (55) 13831 - 4761; (22) 6294 - 7364,"Avenida Saracura, 1716",3;4;2;1
51,Rosi Duarte Abreu,329.416.294-17,rosi.duarte@carlmail.com,2505105,(19) 9369 - 4647; (23) 20687 - 9309; (59) 9725 - 5083,"Rua Uberaba, 1085 - Apartamento 536",3;1;2
52,Teresa Ramos Lucas,869.259.661-19,teresa.ramos@septem.co.uk,2105401,(48) 3627 - 9968; (65) 7619 - 6456; (36) 2951 - 5875,"Travessa milipode, 802 - sala 12",3;1;4
53,Tony Oliveira Andrade,615.893.931-85,tony.oliveira@carlmail.com,2209955,(27) 3976 - 9273; (62) 3519 - 5828; (91) 5685 - 7559,"Alameda Catapora, 90 - Apartamento 124",4;1
54,Sandra Racazella Crozara,451.372.113-97,sandra.racazella@carlmail.com,2612471,(79) 5121 - 7212; (87) 11978 - 5179; (25) 9341 - 8055,"Travessa Saracura, 1427",3;2;4;1
55,Giulia Abreu Andrade,975.565.394-93,giuliaabreu@carlmail.com,1303908,(77) 5615 - 2115; (96) 19631 - 7663; (76) 2941 - 9132,"Alameda Carolina, 911 - sala 19",1;3;4
56,Rosa Queiroz Crozara,382.989.532-53,rosa.queiroz@septem.co.uk,2400901,(97) 1369 - 1117; (51) 16739 - 8713; (57) 4397 - 5520,"Rua Evangelista, 1421 - sala 6",1;3;2
57,Sandra Crozara Sousa,292.248.625-12,sandra_crozara@septem.co.uk,2313757,(44) 2132 - 4271; (59) 29529 - 7854; (82) 8582 - 5155,"Alameda Carolina, 290",3;4;1
58,Igor Queiroz Edgar,693.359.914-87,igorqueiroz@hjmail.com.br,2602605,(98) 9214 - 1188; (85) 17787 - 6928; (45) 3456 - 4573,"Travessa garça, 521 - Apartamento 302",2;4;3
59,Carlos Sousa Lima,735.338.378-77,carlos-sousa@hjmail.com.br,2905008,(34) 2415 - 8455; (18) 7832 - 5197; (81) 8649 - 2197,"Avenida Cristo, 967 - Apartamento 29",3;4
60,Antonio Queiroz Trindade,421.261.121-55,antonio_queiroz@septem.co.uk,2700706,(54) 8683 - 7281; (68) 7122 - 9154; (65) 9812 - 1757,"Avenida Costa Teles, 201 - Apartamento 244",3;4
61,Priscila Trindade Crozara,886.113.974-85,priscila_trindade@septem.co.uk,1710904,(65) 5955 - 9769; (18) 9715 - 9639; (19) 8233 - 5513,"Rua serenata, 2031",3;4;1
62,Caio Silveira Racazella,677.258.687-13,caio-silveira@carlmail.com,2406908,(73) 2484 - 4921; (73) 18287 - 2444; (34) 1784 - 7715,"Alameda confins, 327",2;4;3;1
63,Carlos Pires Oliveira,349.415.722-82,carlos.pires@hjmail.com.br,2102077,(13) 5778 - 7671; (93) 5577 - 2198; (44) 7582 - 2540,"Avenida Brasil, 1780",3;2;4
64,Carlos Edgar Andrade,622.813.381-14,carlos-edgar@carlmail.com,2406502,(55) 6281 - 5481; (29) 2498 - 9526; (97) 4584 - 3941,"Rua Brasil, 503 - sala 18",2;4;3;1
65,Beatriz Silva Lucas,275.994.721-44,beatriz-silva@hjmail.com.br,2615300,(81) 7255 - 7432; (16) 7587 - 8682; (86) 2969 - 1297,"Avenida Setembro, 1831",1;3;4
66,Pamela Edgar Walter,494.455.497-24,pamela_edgar@carlmail.com,2102705,(36) 5389 - 8466; (32) 18299 - 7768; (94) 9366 - 1075,"Avenida Peas, 850",1;3
67,Otávio Duarte Melo,225.479.771-27,otávio.duarte@septem.co.uk,2600054,(99) 4399 - 3192; (42) 23196 - 7745; (85) 6826 - 5603,"Avenida Uberaba, 236 - Apartamento 418",1;4;3
68,Lauro De Melo Abreu,551.885.384-69,lauro_de@carlmail.com,2510600,(19) 2493 - 6172; (26) 15837 - 8792; (31) 3131 - 6178,"Alameda Uberaba, 703",4;3
69,Carlos Santos De Melo,258.125.755-62,carlos_santos@carlmail.com,2508000,(94) 3413 - 6483; (57) 6117 - 5140; (74) 7741 - 1458,"Avenida Catapora, 2041 - Apartamento 379",2;3;1
70,João Queiroz Duarte,264.444.188-32,joão-queiroz@septem.co.uk,2112704,(14) 2791 - 5315; (92) 19386 - 9157; (87) 3596 - 3758,"Travessa Evangelista, 1200",2;4;1
71,Camila Queiroz Lucas,896.811.483-33,camila-queiroz@septem.co.uk,2801603,(52) 9287 - 2242; (63) 27866 - 4092; (56) 3138 - 5045,"Avenida Zimbro, 854",4;2;3
72,Priscila Santos Crozara,782.298.691-54,priscilasantos@septem.co.uk,2912400,(95) 5474 - 7295; (16) 14329 - 2870; (87) 2119 - 8145,"Travessa Evangelista, 1669",4;1
73,Orlando Santista Silveira,311.317.751-22,orlandosantista@hjmail.com.br,2301307,(91) 6216 - 6463; (42) 1145 - 1134; (82) 2635 - 5448,"Travessa Carolina, 764",2;1;3
74,Luzia Ramos Abreu,297.989.763-81,luzia.ramos@hjmail.com.br,1101468,(77) 4353 - 1947; (99) 24332 - 1120; (62) 2899 - 7810,"Rua Zimbro, 1332",2;3
75,Maria Lucas Duarte,549.286.637-46,maria.lucas@carlmail.com,2800506,(17) 6817 - 1769; (25) 6675 - 3315; (75) 7114 - 3781,"Travessa do Carneiro, 1162",3;4;2
76,Caio Trindade Silveira,125.391.523-67,caio_trindade@carlmail.com,2517209,(12) 6932 - 4462; (36) 15628 - 1738; (22) 5828 - 6912,"Rua Setembro, 892",1;4
77,Lauro Andrade Lucas,824.641.371-87,lauroandrade@carlmail.com,2510006,(34) 2737 - 2881; (39) 18188 - 1137; (46) 3768 - 8404,"Rua milipode, 279 - Apto 20",2;4;1
78,Antonio Abreu Duarte,889.125.177-92,antonio_abreu@septem.co.uk,2514305,(86) 7496 - 4833; (25) 17576 - 1101; (33) 7593 - 4644,"Rua do Whisky, 1192",4;2
79,Rosi Pires Racazella,177.396.769-93,rosi.pires@septem.co.uk,2410009,(91) 9292 - 7947; (99) 6798 - 9457; (19) 1465 - 7743,"Travessa Maria Angélica, 978",3;1;2
80,Marcos Queiroz Queiroz,599.585.178-25,marcos_queiroz@carlmail.com,1200393,(18) 2174 - 7316; (81) 20627 - 4512; (48) 5139 - 8663,"Alameda do Whisky, 1516 - sala 19",3;1
81,Sousa Abreu Santos,347.638.561-28,sousa.abreu@hjmail.com.br,2106102,(92) 9234 - 2613; (98) 29842 - 7203; (97) 5459 - 9868,"Alameda Maria Angélica, 264 - Apartamento 296",1;4;2
82,Gladison Silveira Melo,384.976.481-59,gladison.silveira@carlmail.com,2311504,(71) 3129 - 8661; (62) 19683 - 8670; (54) 4432 - 3433,"Avenida Setembrina, 1878 - sala 18",1;3;4
83,Rafael de Sá Racazella,142.833.113-82,rafael-de@septem.co.uk,2901957,(21) 1465 - 8472; (89) 23192 - 2657; (16) 8488 - 1647,"Rua Easy, 270",3;4;1;2
84,Carla Edgar Silveira,948.987.556-11,carla_edgar@carlmail.com,2709004,(22) 5241 - 2226; (98) 25212 - 8535; (25) 8412 - 6122,"Rua Colonial, 837",2;4
85,Igor Lucas Queiroz,858.822.667-58,igor-lucas@hjmail.com.br,2607752,(61) 5327 - 1886; (44) 30248 - 2155; (32) 8826 - 3003,"Alameda Catapora, 435 - sala 3",1;2;3
86,Lauro Silveira Trindade,911.594.842-64,lauro-silveira@hjmail.com.br,2603926,(47) 1343 - 9326; (59) 23444 - 6764; (31) 9955 - 2255,"Rua Catapora, 328",3;2;4;1
87,Antonio Lima De Melo,543.283.158-51,antonio-lima@septem.co.uk,2807105,(58) 5861 - 7914; (82) 10186 - 8363; (22) 9553 - 3884,"Alameda Maria Angélica, 1339",1;2;4;3
88,Otávio de Sá Crozara,472.658.597-49,otávio_de@hjmail.com.br,2611533,(97) 5264 - 4592; (34) 16352 - 2299; (69) 9791 - 4757,"Avenida do Coelho da Páscoa, 741",1;4
89,Pamela Lima Sousa,954.819.714-23,pamela-lima@carlmail.com,2906899,(41) 4957 - 2127; (34) 30764 - 5180; (41) 7666 - 3498,"Rua do Carneiro, 1847",3;4
90,Leandro de Sá De Melo,929.468.198-43,leandro_de@carlmail.com,2512754,(18) 6944 - 2987; (66) 27354 - 5459; (35) 4794 - 9449,"Rua Yayá, 608",1;4;2
91,Otávio Queiroz Oliveira,365.199.122-88,otávio.queiroz@hjmail.com.br,2907509,(93) 8437 - 6464; (74) 14989 - 9556; (67) 1599 - 3379,"Rua do Gin Tônica, 1351",4;2
92,Sousa Lucas Ramos,624.522.225-96,sousa.lucas@septem.co.uk,2105658,(54) 8132 - 9633; (49) 4928 - 1104; (54) 9629 - 1872,"Avenida serenata, 1876",2;1
93,Carlos Sousa Santista,283.284.515-39,carlos_sousa@carlmail.com,2211100,(57) 3527 - 4973; (34) 27152 - 3744; (76) 2847 - 3245,"Travessa do Gin Tônica, 1849",4;3;2
94,Tony Melo Ramos,747.954.436-52,tony_melo@carlmail.com,2502151,(79) 5723 - 1626; (22) 15793 - 3041; (62) 6157 - 6109,"Alameda Zimbro, 446",4;1;3
95,Camila Silveira Duarte,812.194.221-98,camila_silveira@hjmail.com.br,2516151,(67) 1731 - 4447; (76) 17616 - 8451; (26) 9586 - 5817,"Alameda Marcos, 1153 - Apto 283",4;3
96,Lauro Racazella Abreu,722.751.366-63,lauro_racazella@septem.co.uk,1709500,(39) 9718 - 6468; (85) 5136 - 7953; (99) 6643 - 5668,"Travessa Santos Dumont, 208 - Apto 135",2;1;3
97,Carla Andrade Queiroz,395.631.466-87,carlaandrade@carlmail.com,1507466,(72) 1738 - 6413; (75) 25765 - 4424; (92) 5969 - 2949,"Avenida da Cenoura, 282",1;3;2
98,Natasha Edgar Abreu,891.918.821-45,natasha-edgar@septem.co.uk,2903235,(43) 2562 - 1787; (97) 6397 - 7020; (28) 4457 - 2973,"Alameda Lenora, 836 - sala 5",4;1;2
99,Caio Queiroz Queiroz,645.261.334-67,caio_queiroz@hjmail.com.br,1705607,(94) 1456 - 4434; (88) 14915 - 4445; (64) 5812 - 6464,"Alameda do Gin Tônica, 1818 - sala 7",1;3;2
100,Rafael Santista Lima,924.955.219-67,rafael.santista@septem.co.uk,2604502,(99) 1842 - 9384; (54) 14259 - 6375; (42) 6842 - 3159,"Travessa Yayá, 737",1;3;4
101,Gladison Abreu Walter,526.974.484-35,gladisonabreu@hjmail.com.br,2910859,(84) 1917 - 5588; (33) 17862 - 2772; (56) 1942 - 4540,"Avenida Brasil, 1894 - Apto 465",3;2;4;1
102,Carlos Oliveira Santista,521.382.867-67,carlosoliveira@carlmail.com,2611533,(15) 7118 - 2612; (71) 18581 - 2437; (15) 5135 - 8429,"Rua Lenora, 798",4;3
103,Gladison Queiroz Santista,243.376.765-24,gladisonqueiroz@carlmail.com,2800704,(66) 7155 - 7188; (82) 4694 - 3172; (55) 2419 - 9547,"Rua do Carneiro, 643",2;4;1
104,Otávio Lucas Oliveira,758.692.991-38,otáviolucas@hjmail.com.br,2306603,(56) 8382 - 6324; (54) 10275 - 6458; (28) 2819 - 5666,"Rua garça, 13",3;4
105,Gladison Lucas Racazella,339.271.679-67,gladison-lucas@carlmail.com,2311231,(61) 4457 - 6133; (29) 11578 - 4650; (37) 1142 - 3480,"Avenida do Whisky, 1440 - Apto 151",1;2;3
106,Marcos Lima Santos,915.588.867-13,marcoslima@hjmail.com.br,1600238,(46) 8788 - 4632; (48) 1348 - 8521; (98) 6329 - 6849,"Alameda Cristina Aveiro, 1630",2;3;4
107,João Santista Racazella,454.151.266-73,joão_santista@septem.co.uk,1718303,(98) 8793 - 3874; (68) 27377 - 4894; (72) 8156 - 5371,"Rua do Whisky, 1795",2;4
108,Rosa Pires Racazella,349.569.724-89,rosa_pires@carlmail.com,2615607,(77) 5793 - 5471; (35) 17133 - 4072; (55) 5654 - 4067,"Travessa Saracura, 1356 - sala 9",2;4;3
109,Rafael Andrade Racazella,969.545.387-68,rafael-andrade@hjmail.com.br,2900207,(82) 3369 - 1138; (51) 12192 - 7650; (76) 7525 - 9628,"Avenida do Whisky, 389 - sala 10",1;4;2
110,Teresa Lima Lima,837.823.922-14,teresa_lima@hjmail.com.br,1300508,(91) 4995 - 7985; (65) 27794 - 1054; (68) 9118 - 6669,"Rua Yayá, 835 - Apartamento 440",1;2;4
111,Carlos Pires Pires,884.512.161-62,carlos.pires@carlmail.com,1507102,(72) 4412 - 2575; (87) 13714 - 8079; (61) 4649 - 1467,"Avenida Peas, 1755 - Apto 1000",1;4
112,Lisa Andrade Trindade,828.731.965-85,lisa.andrade@carlmail.com,2614709,(11) 7445 - 8491; (37) 21552 - 3495; (47) 6864 - 7518,"Alameda da Lenora, 917",4;2;1
113,Leandro Pires Silva,735.142.373-46,leandro-pires@septem.co.uk,2107258,(77) 4646 - 4523; (93) 7356 - 5815; (95) 2156 - 1552,"Alameda Uberaba, 1886 - Apartamento 299",4;2
114,Orlando Santos Santos,875.517.458-58,orlandosantos@septem.co.uk,2207603,(55) 9627 - 3558; (44) 20547 - 5122; (99) 1711 - 7657,"Travessa Costa Teles, 1360",1;3;2
115,Antonio Walter Trindade,346.249.429-12,antonio_walter@septem.co.uk,2510808,(82) 9774 - 1987; (46) 6578 - 4679; (23) 7821 - 6197,"Avenida Saracura, 282",2;3
116,Carlos Trindade Oliveira,378.319.274-18,carlos-trindade@septem.co.uk,2406155,(53) 1257 - 2977; (52) 29428 - 5290; (57) 9943 - 2367,"Avenida do Carneiro, 485",2;4;1
117,Rosi Pires De Melo,537.286.388-31,rosi.pires@carlmail.com,2102077,(18) 4714 - 7165; (32) 22969 - 2914; (52) 6852 - 8736,"Alameda Saracura, 714 - Apartamento 146",4;3
118,William De Melo Crozara,789.259.127-38,william-de@hjmail.com.br,2703700,(28) 4498 - 9755; (18) 4297 - 8388; (85) 7832 - 6011,"Rua Evangelista, 1887 - Apto 303",2;1;4
119,Rafaela Andrade Silveira,372.538.664-82,rafaela.andrade@septem.co.uk,2406502,(62) 3469 - 9227; (94) 21154 - 8702; (54) 1878 - 6605,"Travessa Cristo, 1958 - Apto 912",3;2;4
120,Lauro de Sá Santista,243.666.938-69,lauro_de@carlmail.com,2111631,(16) 7974 - 1266; (47) 23611 - 9560; (57) 5674 - 7247,"Alameda Marques, 1166 - sala 12",2;4;3
121,Tony Racazella Santos,462.751.273-52,tony-racazella@carlmail.com,1721109,(64) 8434 - 6294; (93) 23561 - 7435; (98) 4662 - 8298,"Rua do Carneiro, 345",1;2;3
122,Giulia Lucas Oliveira,241.669.993-73,giulia_lucas@carlmail.com,1720655,(83) 9252 - 5271; (84) 4497 - 9781; (57) 8156 - 9121,"Avenida Marques, 878 - Apartamento 303",2
123,Carla Walter Silveira,342.283.137-15,carla-walter@carlmail.com,2414308,(83) 4927 - 2466; (22) 18297 - 8166; (25) 5389 - 7855,"Travessa do Whisky, 1107 - Apto 184",3;4;1
124,Tony Andrade Oliveira,848.449.362-99,tony-andrade@carlmail.com,2902252,(36) 8721 - 8369; (86) 30437 - 7568; (21) 2172 - 7767,"Travessa Setembrino, 104",4;2;3
125,Rafaela Queiroz Sousa,335.767.553-85,rafaela_queiroz@carlmail.com,2415008,(43) 2934 - 7297; (75) 17757 - 5972; (32) 2635 - 6623,"Alameda Costa Teles, 8",3;4;2
126,Antonio Andrade Pires,557.142.861-47,antonio_andrade@carlmail.com,2112274,(19) 8631 - 9881; (67) 23643 - 8956; (99) 2255 - 2324,"Rua Cristina Aveiro, 501 - sala 6",4;2;3
127,Carla Melo Abreu,785.276.313-98,carla-melo@hjmail.com.br,2507705,(64) 5434 - 5199; (93) 24778 - 3356; (21) 1759 - 8535,"Avenida da Lenora, 1969",4;3
128,Lauro de Sá Lima,458.751.754-29,laurode@hjmail.com.br,2305902,(49) 9437 - 1662; (14) 20474 - 2872; (48) 5474 - 6633,"Avenida Saracura, 1248",1;3;2
129,Priscila De Melo Walter,682.543.346-87,priscila.de@carlmail.com,2301109,(52) 5994 - 1698; (23) 13135 - 5620; (78) 2282 - 5073,"Avenida Estados Desunidos, 1753 - Apto 917",2;4
130,Mylen Silveira Trindade,215.129.647-98,mylen-silveira@hjmail.com.br,2805109,(25) 9282 - 6436; (41) 24519 - 1273; (88) 3981 - 7754,"Rua Colonial, 1494",2;3
131,Laura Silva Ramos,236.897.143-15,laurasilva@carlmail.com,1716604,(61) 8547 - 4489; (28) 12146 - 1757; (26) 1614 - 6635,"Avenida Peas, 808",3;1
132,Orlando De Melo Abreu,586.589.156-25,orlando.de@septem.co.uk,2202251,(67) 9133 - 5282; (25) 2678 - 6784; (74) 3851 - 2770,"Rua confins, 245 - Apto 667",1;4;3
133,Laura Walter Silveira,269.811.178-47,laura_walter@hjmail.com.br,2305332,(41) 4929 - 6331; (74) 5787 - 9137; (56) 6333 - 1426,"Travessa Setembro, 296",4;3;2;1
134,Leandro Santos de Sá,844.272.939-85,leandro.santos@carlmail.com,1718451,(25) 1217 - 6299; (47) 28557 - 7697; (27) 7459 - 2175,"Travessa do Carneiro, 2040",3;1
135,Mylen Santos Edgar,817.488.314-17,mylen_santos@hjmail.com.br,1505403,(56) 9925 - 4452; (85) 9297 - 4573; (18) 4339 - 8746,"Avenida milipode, 1548",1;3;4
136,Otávio Queiroz Ramos,656.781.775-21,otávio-queiroz@septem.co.uk,2201960,(53) 5943 - 5524; (67) 8222 - 3439; (34) 4383 - 9638,"Avenida Brasil, 89 - Apartamento 773",3;2
137,Guilherme de Sá Crozara,595.664.325-75,guilherme_de@carlmail.com,2107456,(37) 4541 - 8496; (21) 22729 - 5549; (95) 6938 - 3790,"Travessa Catapora, 818",1;3;4
138,Beatriz Sousa Trindade,196.493.154-76,beatriz.sousa@carlmail.com,2200954,(25) 4211 - 9357; (36) 9482 - 6903; (57) 6733 - 3891,"Rua do Gin Tônica, 1960",4;2
139,Lauro Oliveira Walter,833.365.158-37,laurooliveira@septem.co.uk,2500502,(62) 6487 - 6952; (44) 29538 - 9050; (32) 1165 - 5254,"Avenida Colonial, 180",1;3;4
